product_id,product_hs92_code,year,export_value,import_value,pci
650,0101,1995,1018155630,1018155630,0.044
651,0102,1995,5208104239,5208104239,-0.457
652,0103,1995,1586684113,1586684113,0.024
653,0104,1995,866772784,866772784,-1.035
654,0105,1995,927028221,927028221,-0.168
655,0106,1995,367412820,367412820,-1.799
656,0201,1995,9425735690,9425735690,-0.074
657,0202,1995,5219071952,5219071952,-0.78
658,0203,1995,10241883645,10241883645,0.949
659,0204,1995,1950891063,1950891063,-0.674
660,0205,1995,335130550,335130550,-0.189
661,0206,1995,1668535092,1668535092,-0.096
662,0207,1995,8264294100,8264294100,0.003
663,0208,1995,547589935,547589935,-0.393
664,0209,1995,129560499,129560499,0.843
665,0210,1995,1551009648,1551009648,0.639
666,0301,1995,1149922987,1149922987,-1.584
667,0302,1995,5079341255,5079341255,-1.534
668,0303,1995,8366994909,8366994909,-1.792
669,0304,1995,5494882141,5494882141,-1.599
670,0305,1995,2537168992,2537168992,-2.044
671,0306,1995,12184994672,12184994672,-2.131
672,0307,1995,4963950094,4963950094,-2.047
673,0401,1995,2968418369,2968418369,0.365
674,0402,1995,8397916889,8397916889,-0.077
675,0403,1995,916711725,916711725,-0.012
676,0404,1995,804213550,804213550,0.971
677,0405,1995,3466181134,3466181134,0.449
678,0406,1995,10135755512,10135755512,0.374
679,0407,1995,902809346,902809346,-0.556
680,0408,1995,249694370,249694370,0.576
681,0409,1995,398915057,398915057,-0.994
682,0410,1995,97082634,97082634,-0.958
683,0501,1995,7877244,7877244,-0.729
684,0502,1995,125114122,125114122,-0.857
685,0503,1995,21384123,21384123,-0.603
686,0504,1995,1247924788,1247924788,-0.766
687,0505,1995,875244309,875244309,-0.542
688,0506,1995,219302525,219302525,-1.688
689,0507,1995,122501938,122501938,-2.19
690,0508,1995,128022576,128022576,-2.076
691,0509,1995,15745032,15745032,-0.865
692,0510,1995,125144504,125144504,-1.188
693,0511,1995,709501507,709501507,-1.005
694,0601,1995,790135221,790135221,-0.794
695,0602,1995,2818066197,2818066197,-0.955
696,0603,1995,3413862447,3413862447,-1.344
697,0604,1995,505578027,505578027,-0.982
698,0701,1995,2168578718,2168578718,-0.513
