id,x,y,category,size,name,technology_code,text
B01D,0.612216775522117,-0.219331315896499,Physical Sciences and Engineering,32.4223287439414,Separation,B01D,Technology: B01D <br>Description: Separation <br>Group: Physical Sciences and Engineering <br>Supply Chain Tech: TRUE <br>OCP Patents: 4.94126984126984 <br>Quality Patents: TRUE
B01J,-0.0285649380614397,-0.552888360743666,Physical Sciences and Engineering,28.0445723339067,Colloidal Catalysis Processes,B01J,Technology: B01J <br>Description: Colloidal Catalysis Processes <br>Group: Physical Sciences and Engineering <br>Supply Chain Tech: TRUE <br>OCP Patents: 4.91190476190476 <br>Quality Patents: TRUE
B05D,-0.0211434582890223,-0.50269269694146,Physical Sciences and Engineering,20.5716652520641,Liquid Coating Processes,B05D,Technology: B05D <br>Description: Liquid Coating Processes <br>Group: Physical Sciences and Engineering <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
B08B,0.948811981422149,-0.48600812648694,Physical Sciences and Engineering,18.8175711497479,Anti-Fouling Cleaning.,B08B,Technology: B08B <br>Description: Anti-Fouling Cleaning. <br>Group: Physical Sciences and Engineering <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
B22F,0.133298475218142,0.449216710878338,Consumer Products and Fabrication,16.7817840105393,Metallic Powder Manufacturing.,B22F,Technology: B22F <br>Description: Metallic Powder Manufacturing. <br>Group: Consumer Products and Fabrication <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
B29C,-0.482949875462276,0.709671236483997,Consumer Products and Fabrication,31.9541777674155,Plastic Shaping and Joining.,B29C,Technology: B29C <br>Description: Plastic Shaping and Joining. <br>Group: Consumer Products and Fabrication <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
B32B,0.405252053748762,0.136466955728487,Physical Sciences and Engineering,29.8572604701086,Layered Cellular Products,B32B,Technology: B32B <br>Description: Layered Cellular Products <br>Group: Physical Sciences and Engineering <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
B60K,-0.245045007543391,0.205501783650515,Machinery and Transportation,24.4790596542279,Vehicle Propulsion Systems,B60K,Technology: B60K <br>Description: Vehicle Propulsion Systems <br>Group: Machinery and Transportation <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
B60L,-0.44307739565118,0.270878245775008,Machinery and Transportation,20.068040031634,Electric Vehicle Propulsion and Safety.,B60L,Technology: B60L <br>Description: Electric Vehicle Propulsion and Safety. <br>Group: Machinery and Transportation <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
B65D,0.430341609488102,0.159653293149188,Machinery and Transportation,35.5234359950351,Packaging Solutions.,B65D,Technology: B65D <br>Description: Packaging Solutions. <br>Group: Machinery and Transportation <br>Supply Chain Tech: TRUE <br>OCP Patents: 0 <br>Quality Patents: FALSE
