Code,Title,Theme,SubTheme,Description,Keywords
161,Vegetables and Melons,Establishments primarily engaged in the production of vegetables and melons in the open.,"Asparagus farms Bean farms, except dry beans Beet farms, except sugar beet Bok choy farms Broccoli farms Cabbage farms Cantaloupe farms Cauliflower farms Celery farms Corn farms, sweet Cucumber farms English pea farms Green lima bean farms Green pea farms Lettuce farms Market gardens Melon farms Onion farms Pea farms, except dry peas Pepper farms, sweet and hot (vegetables) Romaine farms Snap bean farms (bush and pole) Squash farms Tomato farms Truck farms Vegetable farms Watermelon farms ",Agriculture and Food,Agricultural Production
214,Sheep and Goats,"Establishments primarily engaged in the production of sheep, lambs, goats, goats'milk, wool, and mohair, including the operation of lamb feedlots, on their own account or on a contract or fee basis.","Feedlots, lamb Goat farms Goats'milk production Mohair production Sheep feeding farms and ranches Sheep raising farms and ranches Wool production ",Agriculture and Food,Agricultural Production
241,Dairy Farms,Establishments primarily engaged in the production of cows'milk and other dairy products and in raising dairy heifer replacements.,"Dairy farms Dairy heifer replacement farms Milk production, dairy cattle farm ",Agriculture and Food,Agricultural Production
252,Chicken Eggs,"Establishments primarily engaged in the production of chicken eggs, including table eggs and hatching eggs, and in the sale of cull hens.",Chicken egg farms Started pullet farms ,Agriculture and Food,Agricultural Production
259,"Poultry and Eggs, Not Elsewhere Classified","Establishments primarily engaged in the production of poultry and eggs, not elsewhere classified.","Duck farms Egg farms, poultry: except chicken and turkey Geese farms Pheasant farms Pigeon farms Quail farms Squab farms ",Agriculture and Food,Agricultural Production
291,"General Farms, Primarily Livestock and Animal Specialties","Establishments deriving 50 percent or more of their total value of sales of agricultural products from livestock and animal specialties and their products, but less than 50 percent from products of any single three-digit industry group.","Animal specialty and livestock farms, general Livestock and animal specialty farms, general ",Agriculture and Food,Agricultural Production
721,"Crop Planting, Cultivating, and Protecting","Establishments primarily engaged in performing crop planting, cultivating, and protecting services.","Aerial dusting and spraying Bracing of orchard trees and vines Citrus grove cultivation services Cultivation services, mechanical and flame Detasseling of corn Disease control for crops, with or without fertilizing Dusting crops, with or without fertilizing Entomological service, agricultural Hoeing Insect control for crops, with or without fertilizing Irrigation system operation services (not providing water) Orchard cultivation services Planting crops, with or without fertilizing Pollinating Pruning of orchard trees and vines Seeding crops, with or without fertilizing Seeding of sprouts and twigs Spraying crops, with or without fertilizing Surgery on orchard trees and vines Thinning of crops, mechanical and chemical Trees orchard: cultivation of Trees orchard: planting, pruning, bracing, spraying, removal, and Vineyard cultivation services Weed control, crop: after planting ",Agriculture and Food,Agricultural Services
722,"Crop Harvesting, Primarily by Machine","Establishments primarily engaged in mechanical harvesting, picking, and combining of crops, and related activities, using machinery provided by the service firm.","Berries, machine harvesting of Chopping and silo filling Combining, agricultural Cotton, machine harvesting of Fruits, machine harvesting of Grain, machine harvesting of Hay mowing, raking, baling and chopping Nuts, machine harvesting of Peanuts, machine harvesting of Sugar beets, machine harvesting of Sugarcane, machine harvesting of Threshing service Vegetables, machine harvesting of ",Agriculture and Food,Agricultural Services
741,Veterinary Services for Livestock,"Establishments of licensed practitioners primarily engaged in the practice of veterinary medicine, dentistry, or surgery, for cattle, hogs, sheep, goats, and poultry.",Animal hospitals for livestock Veterinarians for livestock Veterinary services for livestock ,Agriculture and Food,Agricultural Services
751,"Livestock Services, Except Veterinary","Establishments primarily engaged in performing services, except veterinary, for cattle, hogs, sheep, goats, and poultry.","Artificial insemination services: livestock Breeding of livestock Cattle spraying Cleaning poultry coops Dairy herd improvement associations Livestock breeding services Milk testing for butterfat Pedigree record services for cattle, hogs, sheep, goats, and poultry Sheep dipping and shearing Showing of cattle, hogs, sheep, goats, and poultry Slaughtering, custom: for individuals Vaccinating livestock, except by veterinarians ",Agriculture and Food,Agricultural Services
