person responsible,signoff,contingencies,"Additional comments, e.g., image quality",Original visualization image in G Drive,Original Filename in G Drive,Final file for visualization submission after all revisions,hash_id,order,team,title,description,data_source,research_link_url,research_link_text,image
Steven,,,,https://drive.google.com/file/d/1EY2iNo7KeF07rI1PuOkG-R8Ms406GZVh/view?usp=share_link,PieSanctions_np.jpg,,better_sanctions_on_russia_needed,,Academic team,Better Sanctions on Russia are Needed,"In response to the Russian invasion of Ukraine, the EU, the US, and their partners have imposed wide-ranging economic sanctions. An important part of these sanctions are restrictions on exports to Russia. Growth Lab research shows that export restrictions are in general an effective policy instrument that allows cutting Russia off critical supplies for its economy. But current sanctions do not leverage the full potential of these sanctions, and they suffer from serious coordination problems among the anti-Putin coalition, enabling Russia to substitute between coalition suppliers. We show how the efficacy of these sanctions can be raised by ~60% through better coordination and concentrating sanctions on products with highest impact on Russia",https://www.globaltradealert.org/,https://growthlab.cid.harvard.edu/publications/design-effective-sanctions-case-bans-exports-russia,,PieSanctions_np.jpg
Steven,,,,https://drive.google.com/file/d/1sOq2-IAJfhsqBJizEw4ypsg7MupFNa_f/view?usp=share_link,forest_and_deforestration_under_different_property_regimes.png,,deforestation_in_colombia_by_property_regime,,Colombia Amazonia,"Deforestation in Caqueta, Guaviare and Putumayo Colombia by Property Regime","Deforestation differs significantly across the legal status of land, concentrating in areas with unclear legal status. The majority of forest land in Caquetá, Guaviare and Putumayo lies within a national park or indigenous reserve, which contribute little to deforestation. Most of the deforestation (83%) occurs in other land regimes which only has 39% of forest. Therefore, deforestation can be tackled by addressing the property regime.","Author's elaboration based on IDEAM, WDPA and SIAC",,,forest_and_deforestration_under_different_property_regimes.png
,,"check labeling of dots with team; take out ""fish""; take out agriculture, minerals, and stones",,https://drive.google.com/file/d/1ljY6YgFg9DBCPC36WOplCCv1dY8i_kmc/view?usp=share_link,lhf_v_distancedecay.png,,ethiopia_diversification_opportunities_vs_sensitivity_remoteness,,Ethiopia,Ethiopia’s Diversification Opportunities vs. Sensitivity to Remoteness,"Ethiopia is a remote country. It is landlocked with large internal distances, limited transportation infrastructure, and neighboring countries have very low purchasing power. This graph plots potential diversification opportunities by their score on a complexity analysis that prioritizes products with similar capabilities required to those that Ethiopia has (y-axis) against how sensitive these products are to remoteness (x-axis). Many nearby diversification opportunities are very sensitive to remoteness (top right quadrant), indicating that producers may struggle to overcome transport costs to access inputs and reach markets. Only a narrower set of opportunities are more resilient to remote circumstances (top left quadrant).",UN Comtrade,,Ethiopia Research Compendium (may be online soon),lhf_v_distancedecay.png
,,cleanup,,https://drive.google.com/file/d/1YwPdyy9Fg328GbZbbSotH17iqSKxEj-x/view?usp=share_link,FX_sources.png,,official_vs_black_market_exchange_rate_ethiopian_importers,,Ethiopia,Official vs. Black-Market Exchange Rate Usage by Ethiopian Importers,"The Growth Lab project in Ethiopia partnered with the Ethiopian Economics Association to conduct a survey of importers to understand business practices in the context of a binding foreign exchange constraint and to quantify macroeconomic variables important for policymaking. The survey revealed, among other things, that firms tend to exclusively utilize either the official market for foreign exchange or the black market, though some use a mix of both. Large firms are more likely to access foreign exchange through the official market (at a more desirable exchange rate), while other firms are more likely to turn to the black market (and a less favorable exchange rate) because they cannot access foreign exchange through official channels.",Growth Lab / Ethiopian Economics Association Importer Survey,,Ethiopia Importer Survey (may be online soon),FX_sources.png
,,scales need to be synchronized; remove left map (employment to population ratio); add a scatterplot showing spatial correlation of % households doing agriculture and % households experiencing food shortages,,https://drive.google.com/file/d/1gbp3plMZF4iY5isO71z3IbD7v0tD0cFW/view?usp=share_link,nam_agri_income_food.png,,spatial_dimensions_employment_agricultural_activity_namibia,,Namibia,Spatial Dimensions of Employment and Agricultural Activity in Namibia,"The north of Namibia is the most densely populated area in the country. These regions represent the biggest inclusion challenge for Namibia as they comprise a large share of the unemployed working age population. Most of the subsistence household agriculture happens in the north, but food production is not enough to cover the needs of the population, resulting in significant food shortages. In parallel, employment levels are exceptionally low, so households do not have sources of income that could help the north afford food imports. Additionally, the adverse natural conditions of the area have been worsened by climate change, resulting in significant losses of crop and animal production in recent years.","Namibia Labor Force Survey (2018), Namibia Household Income and Expenditure Survey (2015-2016)",https://growthlab.cid.harvard.edu/policy-research/namibia,,nam_agri_income_food.png
,,cleanup,,https://drive.google.com/file/d/1HWUoZveBIOG7daEnhc6fS9ols6a1vGD3/view?usp=share_link,nam_choropleth.png,,port_cities_southern_africa_travel_time_distance,,Namibia,Port Cities in Southern Africa: Travel Times and Distance from Major Agglomerations,"From 2012 onwards, the Walvis Bay port in Namibia suffered a collapse in containerized cargo, driven by plummeting transshipment volumes and a massive contraction in Angola’s imports. What is the potential for the port to attract cargo from landlocked countries? This figure shows Africa’s population at 20-kilometer aggregation and the area covered by 16-hour travel times to Walvis Bay and peer ports in south-, mid-western and eastern Africa. The area covered by 16 hours of travel to the port of Walvis Bay reaches a limited market, even though it is relatively more extensive than most of its peer ports. For example, most of the population in Botswana, Zimbabwe, and Zambia find a better route to travel to the ports of Beira or Durban. This suggests that Namibia might need alternatives to improve its hinterland connectivity (railway connectivity, lower border delays, and improved turnaround times at the port).",AfriLearn R package,https://growthlab.cid.harvard.edu/policy-research/namibia,,nam_choropleth.png
,,"instead of treemap for right side, use scatterplot showing share of employment in one buffer zone (0-5km) vs. share of employment in another (5-15km), to show what are industries that tend to locate in one and not the other",,https://drive.google.com/file/d/1oT4d-NUv8sQHUQvnDvKnZso9Ycz2f5L-/view?usp=share_link,nam_port_city_composition_antwerp.png,,productive_structure_port_cities_antwerp_belgium,,Namibia,"Productive Structure of Port Cities: Antwerp, Belgium","Port cities around the world engage in a diversity of industries. As distance to the port increases, we observe a higher concentration of employment in transportation, warehousing, and certain types of professional services.","Dun & Bradstreet, HDX-WFP Logistics Database",,,nam_port_city_composition_antwerp.png
,,"not straightforward to understand, countries can also differ in what they report so it's not obvious if it's a feature of the data or an actual pattern",,https://drive.google.com/file/d/1E43qXA1byPVqfv7QvZfXZjUJG8IP7uDB/view?usp=share_link,nam_port_city_space.png,,port_city_space,,Namibia,Port City Space,"While there are certain activities that are prevalent across global port cities, there is also large sources of variation between them. This port space maps the similarities in the industrial composition between port cities at the 5km buffer zone. In general, the ports most similar to eachother tend to be within the same country or region.",Dun & Bradstreet,,,nam_port_city_space.png
,,needs legend; colors should be the regions,,https://drive.google.com/file/d/1UnvCNoh9JcDfITssNkXeV505UuMptV2o/view?usp=share_link,Manufacturing_Country_Space__2019_.png,,manufacturing_country_space,,South Africa,Manufacturing Country Space (2019),"The Manufacturing Country Space shows a network of countries connected by a measure of the similarity of their manufacturing exports in 2019. This network could be thought of as the inverse of the Product Space, which shows the links between products with respect to their co-location in countries. It illustrates the relationships between countries with respect to what they export. We constructed the network considering only manufacturing HS products at the 4-digit level. We used a cosine similarity method to compute our measure of similarity and selected the top two values for each country. Each edge is one of the top two connections for each country and their size corresponds to their similar bottlenecks in terms [...] (shorten text)",,,,Manufacturing_Country_Space__2019_.png
,,needs legend showing which country is which color,,https://drive.google.com/file/d/1r8Z5KI7S1gr4vc8okrmHrJBtiLfNXWz3/view?usp=share_link,povcal_val.jpg,,south_africa_income_consumption_deciles,,South Africa,South Africa Income / Consumption and Deciles (TBD),"This graph shows the distribution of average monthly per capita consumption by consumption decile for all countries in the world, highlighting South Africa, Greece, and Comoros. The graph shows how unequal South Africa is. The poorest in South Africa (1st decile) are as poor as the poorest in Cameroon a country that is much poorer than South Africa in terms of overall GDP per capita. But the richest in South Africa (10th decile) are as rich as the richest in Greece, a country with a much higher GDP per capita.",https://growthlab.cid.harvard.edu/policy-research/south-africa,,,povcal_val.jpg
