title,image,text,source,order,link
Unsustainable Water Extraction in Mexican Aquifers,mex_unsustainable_aquifers-felicia.png,"Much of Mexico is under water stress, as indicated by unsustainable levels of aquifer extraction. Hermosillo, a city in which the Growth Lab is working, has a desert climate but is not unique in its challenges with water sustainability. Many of the largest cities of Mexico pull their water from aquifers that are over-exploited, and recent droughts have reduced the supply of water. According to government data, more than 70% of the country is dealing with some level of drought. Climate models project both a hotter and drier climate that will contribute to increased water stress for much of the country. ",CONAGUA,1,https://growthlab.hks.harvard.edu/policy-research/economic-growth-strategies-hermosillo
Female Job Share by Sector vs. Middle-Income Country Average,FemRate_MAR_MIC_WorkPop.png,"Morocco has exceptionally low levels of overall female employment and labor force participation. Growth Lab research has uncovered revealing patterns that are important for targeting actions. This graph shows that nearly every sector has a lower female share of jobs than the middle-income country average. This is especially true in the case of some industries that are large female employers, such as trade and hospitality. In addition, Morocco has undersized health and education sectors — as indicated by a smaller green bubble relative to the black circle — which tend to employ higher rates of women, and an oversized construction sector, which tends to employ fewer women everywhere.",Growth Lab research based on ILO data,2,
Green Value Chains and Their Components,Green_Value_Chains_and_Their_Components.gif,"These visuals highlights the critical components of green value chains, showcasing South Africa's competitiveness across various segments. Each circle represents an input essential to the energy transition, with black-bordered circles marking critical minerals vital for powering energy technologies. These minerals play a pivotal role in decarbonization efforts, underscoring the urgency for mineral producers to scale up production. By leveraging mineral deposits and implementing effective mining policies, countries can seize significant green growth opportunities and contribute to the global energy transition.",Growth Lab's Greenplexity ,3,https://growthlab.app/greenplexity
Top Challenges for Morocco Based on Afrobarometer Survey Versus All Other African Countries,top5_morocco_above_mean_highest.png,"Despite Morocco’s strengths amongst African economies, nearly a quarter of Moroccans rate unemployment as their top concern facing the country that the government should address. Morocco sits well above the median African country on this measure. Moroccans also express great relative concern for health, education, poverty and destitution, and corruption.",Afrobarometer Survey,4,
"Electricity Wholesale Market Prices, Hermosillo vs. National Norm",Wholesale_Electricity_Prices.png,"The State of Sonora is energy rich, including due to its rich renewable energy resources. This could create more opportunities for economic diversification and growth in the state. Ample electricity generation within the state translates into lower wholesale prices in Hermosillo than in the rest of the country. This figure shows monthly averages for Hermosillo and the norm for Mexico as captured by the 25th-to-75th percentile range across places in Mexico. ","Centro Nacional de Control de Energia, 2024",5,https://growthlab.hks.harvard.edu/policy-research/economic-growth-strategies-hermosillo
Green Growth in Product Space,ProductSpaceGreenGrowth.gif,WF Ketan/Tim,The Atlas of Economic Complexity ,6,https://atlas.hks.harvard.edu/explore/productspace?exporter=country-710&colorBy=green&rcaThreshold=0.5
Immigrant Diversity by Country in 2020,templeton_stripplot_mig.png,"This graph shows how diverse the migrant origin countries across the world are. Some of the most prosperous regions in the world have the most diverse immigrant groups, while developing and emerging countries receive more homogenous immigration groups. These countries may be missing out on knowhow and skills provided by a diverse set of foreign-born population. The Growth Lab has been developing novel measures of openness to migration and immigrants' integration. The link below shows an interactive website to explore the first findings. ",Growth Lab reseach based on World Bank and United Nations migration data,7,https://vis.csh.ac.at/leveraging-global-talent/
"A Tale of Two Sectors
",subs_vsnot_tfp.png,"Japan shows very low overall productivity growth. This has been a puzzle. However, if we split Japan into firms that focus on the domestic market and firms that are globally competitive, we find radically different productivity trends. As the Japanese labor force shrinks and the population gets older, more workers are going out of service in the domestic economy, but globally competitive firms can leverage the world’s labor force by deploying Japanese technology worldwide. This makes the country richer through exports, R&D royalties, and dividends of foreign subsidiaries. The global activities of Japanese firms are an important part of the Japanese economy that are usually not taken into account when looking at economic performance of the country. ",Growth Lab research,8,https://growthlab.hks.harvard.edu/sites/projects.iq.harvard.edu/files/2024-03-cid-wp-442-japan-economic-puzzle_4.pdf
Manufacturing Towns Tend to Be Medium-sized and Close to Other Manufacturing Towns,US Manufacturing Concentration.png,"This surface plot shows the share of employment from manufacturing in each US Commuting Zone versus 1) the overall employment in the Commuting Zone and 2) a measure of how proximate the Commuting Zone is to other US manufacturing employment. It reveals that to participate in manufacturing, size and location matter: medium-sized cities that are close to other manufacturing activities have the highest employment shares in manufacturing. Small, remote places tend to little realistic prospect of substantial participation in manufacturing, with some exceptions.",Fabian Eckert's cleaned County Business Patterns data; driving times from Open Street Maps,9,https://growthlab.hks.harvard.edu/policy-research/pathways-prosperity-wyoming
"People Born in Wyoming Leave at Very High Rates, and University Graduates Go to Big Nearby Cities",wyoming_20leavers.png,"Wyoming's largest city has just 60,000 people, which holds the state economy back from entering complex service and manufacturing activities that require economies of scale. A major barrier to agglomeration is Wyoming's exodus of young adults, who leave the state at exceptionally high rates. Yet surveyed University of Wyoming graduates who leave the state overwhelmingly go to large, nearby cities such as Denver, Fort Collins, and Salt Lake City. Wyoming thus faces a chicken-and-egg problem: it cannot diversify because it lacks large cities, but it does not have the large cities needed to retain its young people.",Growth Lab research,10,https://growthlab.hks.harvard.edu/policy-research/pathways-prosperity-wyoming
Market Potential in India and the Remote Northeast,urban_time_to_large_cities_by_state_india.png,"Economic interactions thrive on human interaction, making access to people and markets an important measure of economic potential. One way to study this is by assessing the markets accessible within a reasonable travel time to urban centers with populations exceeding 500,000. This approach reveals significant disparities across states in India. Some parts of India, particularly in the Northeast, stands out as highly remote. In states like, Meghalaya, where the Growth Lab has been working with the State Government, it takes on average close to two hours to reach the nearest large city.",Authors’ calculations using Morales-Arilla & Gadgin Matha (2024) and Weiss et al. (2018),11,
Linguistic Distances Between States in India,inter_state_linguistic_distances_heatmap_distance_linguistic_sim_harm_mean.png,"In India, linguistic differences shape migration patterns and economic connections between states. This heatmap visualizes linguistic distances using census-based bilingualism data. It ranges from 0 (yellow, identical linguistic compositions) to 1 (dark red, completely dissimilar). The map shows how linguistically distant a certain state is from another other state, but also how linguistically diverse a state is internally. The bottom-right yellow corner is the Hindi-speaking belt. It shows high linguistic similarity across states and within states. In the top-left corner are the northeastern states, which are dark red, hence very different from other states. Some states, like Manipur, Nagaland, and Meghalaya are also internally linguistically diverse. This fragmentation reflects their unique cultural identities and helps explain the region’s limited migration and disconnection from India’s broader growth story.",Population by bilingualism from Census of India 2011,12,
How Does Türkiye Contribute to the Global Innovation Landscape?,wipo.png,"This treemap depicts Turkey’s innovation ecosystem across three dimensions of innovation: science, technology, and production.  Türkiye belongs to the 92nd percentile of the distribution of countries by innovation capabilities, with its main contributions to the global innovation landscape concentrated in the technological dimension.","Growth Lab, WIPO research",13,
